Year	Month	preci	Tmin	Tmax	Tavg	PET
1996	1	0	3.71	15.45	9.58	10.2323011
1996	2	9	7.17	19.52	13.345	21.9502958
1996	3	3.52	12.32	24.11	18.215	55.422414
1996	4	0	17.9	31.37	24.635	120.226659
1996	5	0	21.61	33.23	27.42	170.8152193
1996	6	1	23.83	36.7	30.265	216.371961
1996	7	69.59	23.81	35.68	29.745	212.0323896
1996	8	2.26	23.77	35.15	29.46	197.2488161
1996	9	15	21.97	34.72	28.345	161.8328269
1996	10	10.28	15.55	29.99	22.77	91.0998324
1996	11	0	11.23	24.67	17.95	46.1068531
1996	12	2	8	20.48	14.24	26.2111265
1997	1	19	6	20	13	21.402026
1997	2	0	8	19.71	13.855	24.0332988
1997	3	62.36	11	21.66	16.33	42.5599475
1997	4	21.12	17	26.95	21.975	91.2105382
1997	5	17.4	19	31.42	25.21	139.4144652
1997	6	111.79	19	34.69	26.845	161.9250886
1997	7	53.74	17	35.07	26.035	153.6545588
1997	8	4	11	34	22.5	102.8176988
1997	9	0	7	34.17	20.585	74.6862378
1997	10	2.82	5	25.01	15.005	33.2412717
1997	11	4	3	21.36	12.18	18.05715
1997	12	0.19	1	16.68	8.84	8.278721
1998	1	8.06	2	-6.517	-2.2585	0
1998	2	12.63	6.75	18.68	12.715	19.5286195
1998	3	10.94	11.19	22.25	16.72	45.0587056
1998	4	5.73	18	30.77	24.385	117.2985297
1998	5	9.33	22.71	35.24	28.975	195.1801269
1998	6	27	23.83	37.14	30.485	220.1935923
1998	7	49.2	25.26	36.75	31.005	234.3995112
1998	8	18	24.65	37.26	30.955	222.3217062
1998	9	8.3	21	33.12	27.06	144.6641992
1998	10	7	17.03	30.96	23.995	103.4022577
1998	11	0	10.23	26.24	18.235	47.8964198
1998	12	0	9.13	24.56	16.845	39.341871
1999	1	48	3	19	11	14.2914906
1999	2	32.73	5	22	13.5	22.5716674
1999	3	0	8	24	16	40.5106057
1999	4	0	9	27	18	56.3079609
1999	5	10	12	29	20.5	84.5644102
1999	6	19	15	31	23	111.4363145
1999	7	29	17	31	24	126.2125188
1999	8	43	14	28	21	87.0236949
1999	9	20	11	22	16.5	43.7539397
1999	10	0	8	19	13.5	25.7464744
1999	11	0	5	17	11	14.1147168
1999	12	0	3	16	9.5	9.8527107
2000	1	6.91	3.97	18.42	11.195	14.9116262
2000	2	7.32	5.34	17.81	11.575	15.5616826
2000	3	0	10.42	24.58	17.5	50.3090036
2000	4	0.21	19.67	33.67	26.67	145.6553681
2000	5	1.34	24.39	39.43	31.91	246.4500732
2000	6	1.38	25.4	38.64	32.02	247.9580816
2000	7	46.91	23.48	36.12	29.8	212.9813583
2000	8	7.33	22.9	35.98	29.44	196.925271
2000	9	2.4	20.47	34.83	27.65	152.4069697
2000	10	0	16.87	32.58	24.725	111.171282
2000	11	0.37	10.1	24.37	17.235	41.7919208
2000	12	0	6.13	21.2	13.665	23.72548
2001	1	0	3.68	18.16	10.92	14.0415337
2001	2	12	7.5	20.27	13.885	24.159286
2001	3	7.38	10.65	25.38	18.015	53.9628232
2001	4	31.9	16.4	30.87	23.635	108.7668549
2001	5	9.1	24.81	37.05	30.93	228.5503815
